Item_ID,type_1,sti_1,div_1,sti_2,Relation_1,type_2,sti_3,div_2,sti_4,Relation_2,type_3,sti_5,div_3,sti_6,Relation_3,type_4,sti_7,div_4,sti_8,Relation_4,type_q,sti_q1,div_q,sti_q2,Question_1,sti_q3,div_q2,sti_q4,Question_2
1,0,1,は,2,と同じである,,,,,,,,,,,,,,,,0,1,は,2,の反対ですか？,,,,
2,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
3,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
4,0,1,は,2,の反対である,0,2,は,3,の反対である,,,,,,,,,,,0,3,は,2,と同じですか？,,,,
5,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
6,0,1,は,2,と同じである,0,3,は,1,と同じである,,,,,,,,,,,0,2,は,3,の反対ですか？,,,,
7,0,1,は,2,の反対である,0,2,は,3,の反対である,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
8,0,1,は,2,の反対である,0,3,は,1,の反対である,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
9,0,1,は,2,の反対である,0,3,は,1,の反対である,,,,,,,,,,,0,2,は,1,と同じですか？,,,,
10,0,1,は,2,の反対である,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,の反対ですか？,,,,
11,0,1,は,2,の反対である,0,3,は,1,と同じである,,,,,,,,,,,0,1,は,3,の反対ですか？,,,,
12,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と同じである,,,,,,0,4,は,2,の反対ですか？,,,,
13,0,1,は,2,の反対である,0,2,は,3,の反対である,0,3,は,4,の反対である,,,,,,0,4,は,1,の反対ですか？,,,,
14,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,の反対である,,,,,,0,4,は,1,と同じですか？,,,,
15,0,1,は,2,の反対である,0,2,は,3,の反対である,0,3,は,4,と同じである,,,,,,0,2,は,3,の反対ですか？,,,,
16,0,1,は,2,と違っている,,,,,,,,,,,,,,,,0,2,は,1,と同じですか？,,,,
17,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
