row_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7
1,ラアナ,ジイグ,ルウゴ,メエセ,ヨオデ,モッチ,ベンハ
2,ワアツ,チイナ,ブウヌ,ケエバ,ポオニ,コッギ,ルンデ
3,タアレ,ピイヌ,グウホ,ヘエス,ソオミ,セッギ,サンハ
4,ガアギ,ジイト,ズウゼ,ネエテ,ロオワ,ヌッピ,ゲング
5,サアベ,ミイタ,スウセ,テエヒ,ドオノ,メッチ,ヨンバ
6,カアク,ミイセ,ブウハ,テエベ,ゴオラ,キッダ,ズンム
7,ヤアチ,リイニ,ムウラ,ベエモ,トオナ,ブッメ,サンレ
8,ラアネ,ミイメ,ルウス,ケエノ,ゴオブ,ヌッグ,ヤンハ
9,バアト,ミイマ,フウホ,ネエガ,ヨオツ,エッル,レンス
10,パアセ,ピイツ,ルウミ,ネエマ,ポオム,ザッチ,エンメ
11,ザアミ,ヒイズ,ユウヌ,セエモ,ノオマ,レッダ,リンプ
12,ダアロ,リイズ,グウキ,ネエピ,ノオハ,ペッモ,デンメ
13,ザアギ,ヒイデ,ズウジ,ネエゴ,ノオケ,バッロ,トンワ
14,ヤアヘ,ヒイボ,グウゼ,テエス,ノオヌ,フッチ,ヨント
15,ワアニ,ビイカ,グウソ,ネエト,ボオス,アッペ,ゲンダ
16,ザアド,ジイダ,ヌウム,ゼエケ,ボオデ,ウッビ,メンフ
17,タアワ,ジイソ,ムウデ,メエゼ,ヨオケ,バッヒ,スンヘ
18,ハアコ,ニイロ,ツウシ,セエン,ゾオザ,ダッレ,ヤンボ
19,ザアゼ,ギイト,ムウズ,レエヌ,ホオグ,イッハ,ネンフ
20,ダアホ,ジイザ,フウツ,メエレ,モオセ,ヤッド,ズンミ
21,ナアギ,シイヒ,ブウグ,デエガ,ゾオタ,ヘッレ,ポンロ
22,ヤアヌ,チイマ,ツウホ,ヘエゼ,トオギ,ピッサ,ダンム
23,サアピ,ギイリ,スウソ,メエヘ,コオネ,ユッブ,ホンパ
24,カアボ,ビイニ,クウザ,テエブ,トオキ,メッズ,バンダ
25,ワアベ,ギイズ,ブウニ,ケエテ,トオヒ,ルッホ,ランタ
26,ワアビ,ジイリ,ヌウタ,ヘエル,モオソ,ケッゼ,サンデ
27,バアビ,ミイネ,ユウス,ヘエフ,ゾオク,アッヌ,コンホ
28,ハアカ,ミイニ,ブウク,デエゼ,ドオギ,オッヌ,ザンホ
29,ガアサ,シイス,ヌウク,ケエピ,ヨオポ,デッマ,ワンセ
30,カアソ,ギイブ,グウズ,テエリ,ボオツ,ノッケ,ロンビ
31,ヤアカ,キイジ,ユウホ,ヘエセ,ソオデ,レッコ,ピンミ
32,ガアリ,ギイビ,ルウセ,ベエテ,ソオヌ,ネップ,ムンパ
33,ナアミ,ヒイザ,グウブ,ケエポ,ゾオテ,ダッヘ,オンノ
34,パアテ,キイナ,ブウカ,ペエマ,ゾオサ,ヌッセ,ムンボ
35,ワアゾ,ギイサ,フウル,ベエネ,ポオン,ニッバ,クンヌ
36,ヤアブ,ヒイゼ,ムウシ,テエボ,モオゾ,レッサ,コンラ
37,パアサ,ニイフ,ルウマ,ゼエク,モオレ,タッロ,ポンネ
38,ヤアサ,チイバ,スウガ,ヘエボ,コオゾ,トッマ,ゼンネ
39,ザアス,キイパ,ムウダ,ペエク,ノオビ,カッテ,ホンセ
40,バアボ,ビイシ,ツウプ,ヘエト,ソオン,アッワ,ルンガ
41,バアジ,キイニ,ルウナ,ペエタ,ドオゴ,ラッス,ガンサ
42,ザアセ,ジイム,ズウバ,メエナ,ノオチ,ラッド,プンク
43,ダアミ,ヒイジ,ユウノ,ゼエゴ,ポオナ,エップ,ハンペ
44,ワアナ,ジイミ,ムウセ,ケエト,モオサ,ダッカ,デンル
45,サアダ,ヒイラ,グウデ,ケエシ,コオロ,キッホ,ヌンメ
46,ガアヌ,ビイソ,ズウフ,ペエセ,モオコ,デッホ,クンキ
47,バアチ,ヒイネ,ブウテ,ペエノ,ヨオミ,クッヌ,タンケ
48,ヤアノ,リイキ,フウヒ,ヘエン,ヨオサ,クッケ,ガンワ
49,ハアス,ピイセ,グウノ,ケエザ,ゾオホ,カッワ,ギンフ
50,ザアソ,ジイブ,ユウパ,ネエク,ポオキ,ズッナ,ミンゼ
51,ザアヌ,ピイネ,スウル,ヘエシ,ホオハ,ゼッコ,ギンケ
52,ハアジ,リイゼ,ズウク,ベエダ,ホオガ,ヌッナ,ミンピ
53,ザアホ,ミイブ,ルウカ,レエバ,ヨオン,ゼッベ,ビンメ
